Blood-ID,Sample,Sample pt,Band,Treatment,Box,Pair ID,Date,Numeric Date,Time,Numeric time,Tarsus,Mass,Cp Telomere,Mean Cp T,Cp CV T,Efficiency T,Et^CpT(C)-CpT(S),Et_CV,Cp GAPDH,Cp Mean R,Cp CV R,Efficiency R,ER^(CpR(S)-CpR(C)),Er_CV,RTL,RTLave,RTLcv,qPCR Plate,Drop Duplicate,Sex,NOx,Fledged,Recruit,Size rank,Brood size
CTR-12,Tel 2,15,58V87856,CTR,K25,4,01/05/17,31,10:22:00,10.36666667,19.34,16,12.75,,,2.076969342,1.631842191,,25.59,,,2.018534361,0.841910923,,1.373865765,,,1,0,M,0.002,1,0,3,8
CTR-8,Tel 2,15,58V87857,CTR,K25,4,01/05/17,31,10:10:00,10.16666667,18.48,15.1,13.27,13.205,0.006961294,2.097833555,0.61780132,0.068054275,26.15,26.15,0,2.002186402,1.500998081,0,0.927318596,0.974198631,0.068054275,1,0,M,0.0051,1,0,6,8
CTR-8,Tel 2,15,58V87857,CTR,K25,4,01/05/17,31,10:10:00,10.16666667,18.48,15.1,13.14,,,2.097833555,0.68026647,,26.15,,,2.002186402,1.500998081,,1.021078666,,,1,0,M,0.0051,1,0,6,8
CTR-9,Tel 2,15,58V87858,CTR,K25,4,01/05/17,31,10:13:00,10.21666667,19.34,16.4,11.98,11.905,0.008909367,2.076969342,2.864833087,0.077447128,25.55,25.375,0.009753197,2.002186402,0.989640437,0.170975193,2.835154668,2.658185673,0.094151419,1,0,M,0.0051,1,0,2,8
CTR-9,Tel 2,15,58V87858,CTR,K25,4,01/05/17,31,10:13:00,10.21666667,19.34,16.4,11.83,,,2.076969342,3.196788003,,25.2,,,2.002186402,0.776159281,,2.481216677,,,1,0,M,0.0051,1,0,2,8
CTR-11,Tel 2,15,58V87859,CTR,K25,4,01/05/17,31,10:19:00,10.31666667,17.95,12.9,13.81,13.855,0.004593259,2.007917687,0.631230104,0.044348512,26.55,26.59,0.002127437,2.051129172,1.5060383,0.040627119,0.950656712,0.948159455,0.003724749,3,0,F,0.0017,1,0,7,8
CTR-11,Tel 2,15,58V87859,CTR,K25,4,01/05/17,31,10:19:00,10.31666667,17.95,12.9,13.9,,,2.007917687,0.592844194,,26.63,,,2.051129172,1.595127702,,0.945662197,,,3,0,F,0.0017,1,0,7,8
CTR-13,Tel 2,15,58V87860,CTR,K25,4,01/05/17,31,10:25:00,10.41666667,19.15,15.7,11.68,11.695,0.001813869,2.007917687,2.786355213,0.014787147,25.74,25.82,0.004381762,2.002186402,1.12918029,0.078463606,3.146297387,3.294732298,0.06371342,3,0,,,1,0,4,8
CTR-13,Tel 2,15,58V87860,CTR,K25,4,01/05/17,31,10:25:00,10.41666667,19.15,15.7,11.71,,,2.007917687,2.728689399,,25.9,,,2.002186402,1.261839186,,3.443167209,,,3,0,,,1,0,4,8
CTR-10,Tel 2,15,58V87861,CTR,K25,4,01/05/17,31,10:15:00,10.25,17.61,14.7,12.09,12.02,0.008235853,2.097833555,1.480944028,0.073280179,24.76,24.865,0.005971945,2.002186402,0.571858883,0.10290714,0.846890997,0.966897773,0.175525495,1,0,F,,1,0,8,8
CTR-10,Tel 2,15,58V87861,CTR,K25,4,01/05/17,31,10:15:00,10.25,17.61,14.7,11.95,,,2.097833555,1.642807166,,24.97,,,2.002186402,0.6616142,,1.08690455,,,1,0,F,,1,0,8,8
CTR-7,Tel 2,15,58V87862,CTR,K25,4,01/05/17,31,10:06:00,10.1,19.21,15.6,12.71,12.755,0.004989385,2.076969342,1.680255637,0.046498048,26.14,26.125,0.000811989,2.018534361,1.238899349,0.014899002,2.081667615,1.995082554,0.06137579,1,0,F,0.0016,1,0,5,8
CTR-7,Tel 2,15,58V87862,CTR,K25,4,01/05/17,31,10:06:00,10.1,19.21,15.6,12.8,,,2.076969342,1.573282288,,26.11,,,2.018534361,1.213067424,,1.908497493,,,1,0,F,0.0016,1,0,5,8
CTR-6,Tel 2,15,58V87863,CTR,K25,4,01/05/17,31,10:01:00,10.01666667,19.07,16.6,12,11.87,0.015488438,2.017152285,2.633536776,0.128646917,25.69,25.755,0.003569166,1.970580571,0.813109004,0.062314186,2.141352464,2.474095601,0.190198736,2,0,M,0.0037,1,0,1,8
CTR-6,Tel 2,15,58V87863,CTR,K25,4,01/05/17,31,10:01:00,10.01666667,19.07,16.6,11.74,,,2.017152285,3.160613902,,25.82,,,1.970580571,0.888067579,,2.806838737,,,2,0,M,0.0037,1,0,1,8
CTR-108,Tel 1,8,59V66839,CTR,K29A,16,28/04/17,28,10:39:00,10.65,14.74,8.2,13.85,13.8,0.005123962,1.97540797,0.787988936,0.048119475,26.8,26.785,0.000791981,2.051129172,1.802329824,0.015238773,1.42021596,1.454034914,0.032892762,3,0,M,0.0015,1,0,7,9
CTR-108,Tel 1,8,59V66839,CTR,K29A,16,28/04/17,28,10:39:00,10.65,14.74,8.2,13.75,,,1.97540797,0.843501384,,26.77,,,2.051129172,1.763902107,,1.487853869,,,3,0,M,0.0015,1,0,7,9
CTR-109,Tel 1,8,59V66840,CTR,K29A,16,28/04/17,28,10:40:00,10.66666667,13.06,8.9,13.2,12.995,0.022309641,1.97540797,1.22658328,0.196094597,26.28,26.23,0.002695794,2.051129172,1.240503241,0.050776041,1.521580535,1.696809852,0.146045638,3,0,M,0.0007,1,0,4,9
CTR-109,Tel 1,8,59V66840,CTR,K29A,16,28/04/17,28,10:40:00,10.66666667,13.06,8.9,12.79,,,1.97540797,1.621497671,,26.18,,,2.051129172,1.154512401,,1.87203917,,,3,0,M,0.0007,1,0,4,9
CTR-110,Tel 1,8,59V66841,CTR,K29A,16,28/04/17,28,10:42:00,10.7,15.17,9.7,12.11,12.13,0.002331762,2.007917687,2.064694218,0.019715637,25.8,25.83,0.001642524,2.051129172,0.878701278,0.030474008,1.814249447,1.828161026,0.010761603,3,0,M,0.0027,1,0,1,9
CTR-110,Tel 1,8,59V66841,CTR,K29A,16,28/04/17,28,10:42:00,10.7,15.17,9.7,12.15,,,2.007917687,2.007917687,,25.86,,,2.051129172,0.917404442,,1.842072605,,,3,0,M,0.0027,1,0,1,9
CTR-111,Tel 1,8,59V66842,CTR,K29A,16,28/04/17,28,10:44:00,10.73333333,14,9.7,12.61,12.535,0.008461589,2.007917687,1.457077959,0.073871135,25.79,25.805,0.000822058,2.051129172,0.872411392,0.015238773,1.27117141,1.356603191,0.089059781,3,0,M,0.0021,1,0,2,9
CTR-111,Tel 1,8,59V66842,CTR,K29A,16,28/04/17,28,10:44:00,10.73333333,14,9.7,12.46,,,2.007917687,1.617687667,,25.82,,,2.051129172,0.891417423,,1.442034972,,,3,0,M,0.0021,1,0,2,9
CTR-112,Tel 1,8,59V66843,CTR,K29A,16,28/04/17,28,10:46:00,10.76666667,15.04,8.7,12.44,12.265,0.020178343,2.097833555,1.142664631,0.182344005,25.91,25.91,0,2.018534361,1.054090043,0,1.204471411,1.382759882,0.182344005,1,0,F,0.0009,1,0,5,9
CTR-112,Tel 1,8,59V66843,CTR,K29A,16,28/04/17,28,10:46:00,10.76666667,15.04,8.7,12.09,,,2.097833555,1.480944028,,25.91,,,2.018534361,1.054090043,,1.561048354,,,1,0,F,0.0009,1,0,5,9
CTR-113,Tel 1,8,59V66844,CTR,K29A,16,28/04/17,28,10:48:00,10.8,13.5,8.7,12.24,12.21,0.003474726,2.097833555,1.325174257,0.031428769,25.17,25.225,0.003083518,2.002186402,0.760161237,0.053972955,1.007346102,1.072029081,0.085329351,1,0,F,0.0041,1,0,6,9
CTR-113,Tel 1,8,59V66844,CTR,K29A,16,28/04/17,28,10:48:00,10.8,13.5,8.7,12.18,,,2.097833555,1.38541298,,25.28,,,2.002186402,0.820486076,,1.13671206,,,1,0,F,0.0041,1,0,6,9
CTR-114,Tel 1,8,59V66845,CTR,K29A,16,28/04/17,28,10:50:00,10.83333333,14.84,9,14.59,14.435,0.015185528,2.007917687,0.366476302,0.152214191,27.05,27.005,0.002356586,2.051129172,2.156912474,0.045702169,0.790457307,0.855082986,0.106883791,3,0,F,0.0017,1,0,3,9
CTR-114,Tel 1,8,59V66845,CTR,K29A,16,28/04/17,28,10:50:00,10.83333333,14.84,9,14.28,,,2.007917687,0.454880298,,26.96,,,2.051129172,2.02186964,,0.919708665,,,3,0,F,0.0017,1,0,3,9
CTR-115,Tel 1,8,59V66846,CTR,K29A,16,28/04/17,28,10:51:00,10.85,14.24,8.1,12.69,12.725,0.003889782,2.097833555,0.94945859,0.036664717,25.93,25.98,0.002721735,2.018534361,1.069001794,0.049644771,1.014972936,1.024383584,0.012991878,1,0,F,0.0024,1,0,8,9
CTR-115,Tel 1,8,59V66846,CTR,K29A,16,28/04/17,28,10:51:00,10.85,14.24,8.1,12.76,,,2.097833555,0.901471614,,26.03,,,2.018534361,1.146785119,,1.033794232,,,1,0,F,0.0024,1,0,8,9
CTR-116,Tel 1,8,59V66847,CTR,K29A,16,28/04/17,28,10:53:00,10.88333333,11.71,6.9,12.3,12.3,0,2.076969342,2.267366347,0,26.81,26.69,0.006358397,1.970580571,1.738178085,0.114862538,3.941086496,3.645036353,0.114862538,2,0,M,0.001,1,0,9,9
CTR-116,Tel 1,8,59V66847,CTR,K29A,16,28/04/17,28,10:53:00,10.88333333,11.71,6.9,12.3,,,2.076969342,2.267366347,,26.57,,,1.970580571,1.477037981,,3.348986211,,,2,0,M,0.001,1,0,9,9
CTR-88,Tel 2,15,59V66839,CTR,K29A,16,05/05/17,35,12:10:00,12.16666667,19.58,16.3,13.54,13.23,0.033137279,2.017152285,0.893803004,0.302862066,25.02,25.165,0.008148658,1.970580571,0.516143733,0.13865181,0.461330819,0.66452857,0.432434403,2,0,M,0.0015,1,0,4,9
CTR-88,Tel 2,15,59V66839,CTR,K29A,16,05/05/17,35,12:10:00,12.16666667,19.58,16.3,12.92,,,2.017152285,1.380955855,,25.31,,,1.970580571,0.628351962,,0.867726321,,,2,0,M,0.0015,1,0,4,9
CTR-84,Tel 2,15,59V66840,CTR,K29A,16,05/05/17,35,11:53:00,11.88333333,19.65,16.7,12.9,13.01,0.011957225,2.017152285,1.400472449,0.108940586,26.11,26.085,0.00135539,1.970580571,1.08113103,0.023980225,1.514094222,1.38416716,0.132747415,2,0,M,0.0007,1,0,3,9
CTR-84,Tel 2,15,59V66840,CTR,K29A,16,05/05/17,35,11:53:00,11.88333333,19.65,16.7,13.12,,,2.017152285,1.200140408,,26.06,,,1.970580571,1.045077801,,1.254240099,,,2,0,M,0.0007,1,0,3,9
CTR-83,Tel 2,15,59V66841,CTR,K29A,16,05/05/17,35,11:49:00,11.81666667,19.97,17.7,12.02,12.08,0.00702424,2.097833555,1.559777376,0.062826508,25.89,25.805,0.004658328,2.018534361,1.0393863,0.084330634,1.621211235,1.468779949,0.146768338,1,0,M,0.0027,1,0,1,9
CTR-83,Tel 2,15,59V66841,CTR,K29A,16,05/05/17,35,11:49:00,11.81666667,19.97,17.7,12.14,,,2.097833555,1.427085828,,25.72,,,2.018534361,0.92240329,,1.316348662,,,1,0,M,0.0027,1,0,1,9
CTR-81,Tel 2,15,59V66842,CTR,K29A,16,05/05/17,35,11:41:00,11.68333333,19.26,16.9,12.42,12.185,0.027274533,2.076969342,2.076969342,0.240549704,24.5,24.545,0.002592773,2.002186402,0.477416802,0.044166782,0.991580062,1.239879805,0.28321202,1,0,M,0.0021,1,0,2,9
CTR-81,Tel 2,15,59V66842,CTR,K29A,16,05/05/17,35,11:41:00,11.68333333,19.26,16.9,11.95,,,2.076969342,2.928344899,,24.59,,,2.002186402,0.50819818,,1.488179548,,,1,0,M,0.0021,1,0,2,9
CTR-86,Tel 2,15,59V66843,CTR,K29A,16,05/05/17,35,12:02:00,12.03333333,19.14,15.5,13.01,12.87,0.015383831,2.017152285,1.296442662,0.138481711,25.54,25.59,0.002763215,1.970580571,0.734445612,0.047946664,0.952166625,1.096193992,0.185811505,2,0,F,0.0009,1,0,9,9
CTR-86,Tel 2,15,59V66843,CTR,K29A,16,05/05/17,35,12:02:00,12.03333333,19.14,15.5,12.73,,,2.017152285,1.577902435,,25.64,,,1.970580571,0.785993691,,1.240221359,,,2,0,F,0.0009,1,0,9,9
CTR-80,Tel 2,15,59V66844,CTR,K29A,16,05/05/17,35,11:37:00,11.61666667,19.42,16.1,12.27,12.185,0.009865257,2.076969342,2.317632642,0.087748447,25.53,25.585,0.003040131,2.018534361,0.807168073,0.054604536,1.870719073,2.079543007,0.142012759,1,0,F,0.0041,1,0,5,9
CTR-80,Tel 2,15,59V66844,CTR,K29A,16,05/05/17,35,11:37:00,11.61666667,19.42,16.1,12.1,,,2.076969342,2.624265153,,25.64,,,2.018534361,0.872002944,,2.28836694,,,1,0,F,0.0041,1,0,5,9
CTR-82,Tel 2,15,59V66845,CTR,K29A,16,05/05/17,35,11:45:00,11.75,19.33,15.9,12.46,12.515,0.006215082,2.097833555,1.125857342,0.057597021,25.95,25.755,0.010707499,2.018534361,1.084124494,0.192492062,1.220569522,1.038018606,0.248710361,1,0,F,0.0017,1,0,6,9
CTR-82,Tel 2,15,59V66845,CTR,K29A,16,05/05/17,35,11:45:00,11.75,19.33,15.9,12.57,,,2.097833555,1.037739986,,25.56,,,2.018534361,0.824356487,,0.855467689,,,1,0,F,0.0017,1,0,6,9
CTR-87,Tel 2,15,59V66846,CTR,K29A,16,05/05/17,35,12:06:00,12.1,19.43,15.5,11.71,11.855,0.017297424,2.097833555,1.962508901,0.151348915,24.76,24.96,0.011331839,2.018534361,0.469987321,0.197364218,0.922354301,0.953861359,0.046712982,1,0,F,0.0024,1,0,8,9
CTR-87,Tel 2,15,59V66846,CTR,K29A,16,05/05/17,35,12:06:00,12.1,19.43,15.5,12,,,2.097833555,1.583062412,,25.16,,,2.018534361,0.622444453,,0.985368417,,,1,0,F,0.0024,1,0,8,9
CTR-85,Tel 2,15,59V66847,CTR,K29A,16,05/05/17,35,11:59:00,11.98333333,19.34,15.6,13.28,13.42,0.014753346,1.97540797,1.161567618,0.134379919,26.68,26.635,0.002389323,2.051129172,1.653465387,0.045702169,1.920611851,1.704260354,0.179530798,3,0,M,0.001,1,0,7,9
CTR-85,Tel 2,15,59V66847,CTR,K29A,16,05/05/17,35,11:59:00,11.98333333,19.34,15.6,13.56,,,1.97540797,0.959976478,,26.59,,,2.051129172,1.549943035,,1.487908856,,,3,0,M,0.001,1,0,7,9
LAN-33,Tel 1,8,58V87870,LAN,K30,5,24/04/17,24,09:54:00,9.9,14.64,10.1,12.22,12.095,0.014615684,2.097833555,1.344957036,0.130601583,24.73,24.825,0.005411895,2.002186402,0.560071839,0.093136314,0.75327256,0.893827049,0.222385377,1,0,M,0.0008,1,0,3,8
LAN-33,Tel 1,8,58V87870,LAN,K30,5,24/04/17,24,09:54:00,9.9,14.64,10.1,11.97,,,2.097833555,1.618643353,,24.92,,,2.002186402,0.63904228,,1.034381538,,,1,0,M,0.0008,1,0,3,8
Lan-34,Tel 1,8,58V87871,LAN,K30,5,24/04/17,24,09:56:00,9.933333333,14.68,10,12.33,12.265,0.007494813,2.076969342,2.218190259,0.06713756,24.81,24.75,0.003428397,2.018534361,0.486785854,0.059562957,1.079783641,1.085609874,0.007589778,1,0,M,,0,0,5,8
Lan-34,Tel 1,8,58V87871,LAN,K30,5,24/04/17,24,09:56:00,9.933333333,14.68,10,12.2,,,2.076969342,2.439297131,,24.69,,,2.018534361,0.447438769,,1.091436107,,,1,0,M,,0,0,5,8
LAN-35,Tel 1,8,58V87872,LAN,K30,5,24/04/17,24,09:59:00,9.983333333,14.98,10.8,13.45,13.435,0.001578951,1.97540797,1.034624695,0.014440915,26.45,26.345,0.005636456,2.051129172,1.40164075,0.106473678,1.450172133,1.361501542,0.09210357,3,0,M,0.003,0,0,1,8
LAN-35,Tel 1,8,58V87872,LAN,K30,5,24/04/17,24,09:59:00,9.983333333,14.98,10.8,13.42,,,1.97540797,1.055972344,,26.24,,,2.051129172,1.205363907,,1.27283095,,,3,0,M,0.003,0,0,1,8
LAN-36,Tel 1,8,58V87873,LAN,K30,5,24/04/17,24,10:01:00,10.01666667,14.49,10.1,12.26,12.1,0.018700345,2.007917687,1.859704131,0.15708447,26.08,26.145,0.003515926,2.051129172,1.074482388,0.065989284,1.998219335,2.370152246,0.221923536,3,0,M,0.0018,1,0,4,8
LAN-36,Tel 1,8,58V87873,LAN,K30,5,24/04/17,24,10:01:00,10.01666667,14.49,10.1,11.94,,,2.007917687,2.324462506,,26.21,,,2.051129172,1.17966418,,2.742085157,,,3,0,M,0.0018,1,0,4,8
LAN-37,Tel 1,8,58V87874,LAN,K30,5,24/04/17,24,10:04:00,10.06666667,13.95,9.5,13.67,13.66,0.001035295,2.007917687,0.69594053,0.009858298,26.42,26.545,0.00665951,2.051129172,1.371756179,0.126654434,0.954660721,1.056588613,0.13642756,3,0,F,0.0005,1,0,6,8
LAN-37,Tel 1,8,58V87874,LAN,K30,5,24/04/17,24,10:04:00,10.06666667,13.95,9.5,13.65,,,2.007917687,0.705711261,,26.67,,,2.051129172,1.641629614,,1.158516504,,,3,0,F,0.0005,1,0,6,8
LAN-38,Tel 1,8,58V87875,LAN,K30,5,24/04/17,24,10:09:00,10.15,15.12,10.3,12.44,12.535,0.010718013,2.007917687,1.640399366,0.093518672,26.58,26.525,0.002932394,2.051129172,1.538848292,0.055848604,2.524325762,2.283747747,0.148978228,3,0,M,0.0016,1,0,2,8
LAN-38,Tel 1,8,58V87875,LAN,K30,5,24/04/17,24,10:09:00,10.15,15.12,10.3,12.63,,,2.007917687,1.436904387,,26.47,,,2.051129172,1.421924625,,2.043169732,,,3,0,M,0.0016,1,0,2,8
LAN-39,Tel 1,8,58V87876,LAN,K30,5,24/04/17,24,10:11:00,10.18333333,10.28,6.3,11.64,11.89,0.029735357,2.017152285,3.39035609,0.245569929,25.54,25.535,0.000276917,1.970580571,0.734445612,0.004796486,2.490032154,2.115698294,0.250219052,2,0,F,0.0019,0,0,8,8
LAN-39,Tel 1,8,58V87876,LAN,K30,5,24/04/17,24,10:11:00,10.18333333,10.28,6.3,12.14,,,2.017152285,2.387129454,,25.53,,,1.970580571,0.729480519,,1.741364434,,,2,0,F,0.0019,0,0,8,8
LAN-40,Tel 1,8,58V87877,LAN,K30,5,24/04/17,24,10:15:00,10.25,11.79,7.7,11.48,11.475,0.000616215,2.097833555,2.327121034,0.005238967,24.61,24.73,0.006862338,2.018534361,0.422990604,0.118914974,0.984350331,1.079050804,0.12411528,1,0,,,0,0,7,8
LAN-40,Tel 1,8,58V87877,LAN,K30,5,24/04/17,24,10:15:00,10.25,11.79,7.7,11.47,,,2.097833555,2.344426825,,24.85,,,2.018534361,0.500655966,,1.173751276,,,1,0,,,0,0,7,8
LAN-31,Tel 2,15,58V87870,LAN,K30,5,01/05/17,31,11:52:00,11.86666667,18.4,14.9,13.77,13.73,0.004120069,2.076969342,0.774282547,0.041334725,26.68,26.665,0.000795545,2.018534361,1.810320811,0.014899002,1.401699808,1.428409111,0.026443865,1,0,M,0.0008,1,0,2,8
LAN-31,Tel 2,15,58V87870,LAN,K30,5,01/05/17,31,11:52:00,11.86666667,18.4,14.9,13.69,,,2.076969342,0.820906845,,26.65,,,2.018534361,1.772574346,,1.455118413,,,1,0,M,0.0008,1,0,2,8
LAN-29,Tel 2,15,58V87871,LAN,K30,5,01/05/17,31,11:44:00,11.73333333,19.33,14,13.17,12.965,0.022361263,2.097833555,0.665312885,0.213161974,24.79,24.775,0.000856234,2.018534361,0.479995567,0.014899002,0.319347236,0.371513732,0.198578305,1,0,M,,0,0,5,8
LAN-29,Tel 2,15,58V87871,LAN,K30,5,01/05/17,31,11:44:00,11.73333333,19.33,14,12.76,,,2.097833555,0.901471614,,24.76,,,2.018534361,0.469987321,,0.423680229,,,1,0,M,,0,0,5,8
LAN-24,Tel 2,15,58V87872,LAN,K30,5,01/05/17,31,11:25:00,11.41666667,19.21,14.8,11.7,11.815,0.013765092,2.076969342,3.515440469,0.118592031,24.8,24.775,0.001427057,2.018534361,0.483378788,0.024830037,1.699289352,1.543033142,0.143211215,1,0,M,0.003,0,0,3,8
LAN-24,Tel 2,15,58V87872,LAN,K30,5,01/05/17,31,11:25:00,11.41666667,19.21,14.8,11.93,,,2.076969342,2.97146643,,24.75,,,2.018534361,0.466697829,,1.386776932,,,1,0,M,0.003,0,0,3,8
LAN-30,Tel 2,15,58V87873,LAN,K30,5,01/05/17,31,11:49:00,11.81666667,18.22,15.1,12.5,12.53,0.003385986,2.097833555,1.092980776,0.031428769,25.42,25.42,0,2.018534361,0.747153782,0,0.81662472,0.798871014,0.031428769,1,0,M,0.0018,1,0,1,8
LAN-30,Tel 2,15,58V87873,LAN,K30,5,01/05/17,31,11:49:00,11.81666667,18.22,15.1,12.56,,,2.097833555,1.045457209,,25.42,,,2.018534361,0.747153782,,0.781117308,,,1,0,M,0.0018,1,0,1,8
LAN-25,Tel 2,15,58V87874,LAN,K30,5,01/05/17,31,11:29:00,11.48333333,18.35,13.4,12.19,12.185,0.000580309,2.097833555,1.375186315,0.005238967,25.59,25.65,0.003308102,2.002186402,1.017507485,0.058874152,1.399262369,1.465699341,0.064103233,1,0,F,0.0005,1,0,6,8
LAN-25,Tel 2,15,58V87874,LAN,K30,5,01/05/17,31,11:29:00,11.48333333,18.35,13.4,12.18,,,2.097833555,1.38541298,,25.71,,,2.002186402,1.105905845,,1.532136313,,,1,0,F,0.0005,1,0,6,8
LAN-25,Tel 2,15,58V87874,LAN,K30,5,01/05/17,31,11:29:00,11.48333333,18.35,13.4,12.09,12.1,0.001168772,2.076969342,2.643516433,0.010336441,25.7,25.63,0.003862464,2.018534361,0.909536475,0.069475278,2.404374618,2.275975137,0.079783072,1,1,F,0.0005,1,0,6,8
LAN-25,Tel 2,15,58V87874,LAN,K30,5,01/05/17,31,11:29:00,11.48333333,18.35,13.4,12.11,,,2.076969342,2.60515407,,25.56,,,2.018534361,0.824356487,,2.147575656,,,1,1,F,0.0005,1,0,6,8
LAN-26,Tel 2,15,58V87875,LAN,K30,5,01/05/17,31,11:32:00,11.53333333,19.01,14.1,12.8,12.54,0.029321812,2.097833555,0.875147416,0.269107015,25.47,25.48,0.000555029,2.018534361,0.773858944,0.009932872,0.677240656,0.843438155,0.278667447,1,0,M,0.0016,1,0,4,8
LAN-26,Tel 2,15,58V87875,LAN,K30,5,01/05/17,31,11:32:00,11.53333333,19.01,14.1,12.28,,,2.097833555,1.286477365,,25.49,,,2.018534361,0.784806388,,1.009635654,,,1,0,M,0.0016,1,0,4,8
LAN-27,Tel 2,15,58V87876,LAN,K30,5,01/05/17,31,11:37:00,11.61666667,16.64,10.7,11.87,11.9,0.003565244,2.017152285,2.885063768,0.029765651,26.04,25.85,0.010394606,1.970580571,1.030995427,0.181264648,2.974487551,2.589168795,0.210462528,2,0,F,0.0019,0,0,7,8
LAN-27,Tel 2,15,58V87876,LAN,K30,5,01/05/17,31,11:37:00,11.61666667,16.64,10.7,11.93,,,2.017152285,2.766120502,,25.66,,,1.970580571,0.796729585,,2.203850039,,,2,0,F,0.0019,0,0,7,8
LAN-1 ,Tel 1,8,58V87809,LAN,K32,1,21/04/17,21,09:08:00,9.133333333,13.67,10,12.49,12.36,0.014874414,2.076969342,1.973376627,0.13397318,25.74,25.84,0.005472963,2.018534361,0.935452125,0.099167337,1.84599936,2.207518886,0.231602013,1,0,F,0.0037,1,0,2,8
LAN-1 ,Tel 1,8,58V87809,LAN,K32,1,21/04/17,21,09:08:00,9.133333333,13.67,10,12.23,,,2.076969342,2.386392098,,25.94,,,2.018534361,1.07653659,,2.569038412,,,1,0,F,0.0037,1,0,2,8
LAN-2,Tel 1,8,58V87810,LAN,K32,1,21/04/17,21,09:11:00,9.183333333,14.19,10.2,13.99,13.765,0.023116459,1.97540797,0.716354787,0.21494286,26.53,26.605,0.003986695,2.051129172,1.484554536,0.076123168,1.063467748,1.33625757,0.28870412,3,0,M,,1,1,1,8
LAN-2,Tel 1,8,58V87810,LAN,K32,1,21/04/17,21,09:11:00,9.183333333,14.19,10.2,13.54,,,1.97540797,0.973136423,,26.68,,,2.051129172,1.653465387,,1.609047392,,,3,0,M,,1,1,1,8
LAN-3,Tel 1,8,58V87811,LAN,K32,1,21/04/17,21,09:13:00,9.216666667,13.11,9,12.55,12.555,0.000563207,2.007917687,1.519314012,0.004929209,26.67,26.59,0.004254873,2.051129172,1.641629614,0.081187236,2.494150875,2.351017762,0.086099217,3,0,F,0.0025,1,0,6,8
LAN-3,Tel 1,8,58V87811,LAN,K32,1,21/04/17,21,09:13:00,9.216666667,13.11,9,12.56,,,2.007917687,1.508759731,,26.51,,,2.051129172,1.46337724,,2.20788465,,,3,0,F,0.0025,1,0,6,8
LAN-4,Tel 1,8,58V87812,LAN,K32,1,21/04/17,21,09:16:00,9.266666667,13.34,9.8,11.29,11.43,0.017321951,2.097833555,2.678893614,0.146167897,25.42,25.425,0.000278115,2.018534361,0.747153782,0.004966497,2.001545495,1.819784142,0.141252671,1,0,M,0.0023,1,0,3,8
LAN-4,Tel 1,8,58V87812,LAN,K32,1,21/04/17,21,09:16:00,9.266666667,13.34,9.8,11.57,,,2.097833555,2.177005765,,25.43,,,2.018534361,0.752420051,,1.638022789,,,1,0,M,0.0023,1,0,3,8
LAN-5,Tel 1,8,58V87813,LAN,K32,1,21/04/17,21,09:19:00,9.316666667,12.89,8.7,13.31,13.38,0.007398726,2.007917687,0.894459447,0.068954481,26.53,26.515,0.000800045,2.051129172,1.484554536,0.015238773,1.327873829,1.253299549,0.084149043,3,0,M,,1,1,7,8
LAN-5,Tel 1,8,58V87813,LAN,K32,1,21/04/17,21,09:19:00,9.316666667,12.89,8.7,13.45,,,2.007917687,0.811290197,,26.5,,,2.051129172,1.452902148,,1.17872527,,,3,0,M,,1,1,7,8
LAN-6,Tel 1,8,58V87814,LAN,K32,1,21/04/17,21,09:29:00,9.483333333,13.49,9.3,12.47,12.4,0.007983464,2.076969342,2.002435711,0.072293307,25.84,25.84,0,2.002186402,1.210357706,0,2.423663493,2.554233583,0.072293307,1,0,F,0.0024,1,0,4,8
LAN-6,Tel 1,8,58V87814,LAN,K32,1,21/04/17,21,09:29:00,9.483333333,13.49,9.3,12.33,,,2.076969342,2.218190259,,25.84,,,2.002186402,1.210357706,,2.684803673,,,1,0,F,0.0024,1,0,4,8
LAN-7,Tel 1,8,58V87815,LAN,K32,1,21/04/17,21,09:31:00,9.516666667,14.08,9.2,13.54,13.63,0.009338167,2.017152285,0.893803004,0.089191605,25.91,26.01,0.005437192,1.970580571,0.943972828,0.095783231,0.843725749,0.847693786,0.006619903,2,0,F,,1,0,5,8
LAN-7,Tel 1,8,58V87815,LAN,K32,1,21/04/17,21,09:31:00,9.516666667,14.08,9.2,13.72,,,2.017152285,0.787750789,,26.11,,,1.970580571,1.08113103,,0.851661822,,,2,0,F,,1,0,5,8
LAN-8,Tel 1,8,58V87816,LAN,K32,1,21/04/17,21,09:33:00,9.55,11.94,6.8,13.34,13.25,0.009605979,2.076969342,1.060216129,0.092895672,26.32,26.265,0.002961422,2.018534361,1.405861479,0.054604536,1.490517015,1.532105668,0.038388499,1,0,F,0.0074,1,0,8,8
LAN-8,Tel 1,8,58V87816,LAN,K32,1,21/04/17,21,09:33:00,9.55,11.94,6.8,13.16,,,2.076969342,1.209293789,,26.21,,,2.018534361,1.301333336,,1.57369432,,,1,0,F,0.0074,1,0,8,8
LAN-1,Tel 2,15,58V87809,LAN,K32,1,28/04/17,28,11:33:00,11.55,17.92,15.2,12.47,12.455,0.001703188,2.076969342,2.002435711,0.015504317,25.1,25.02,0.004521866,2.002186402,0.724103095,0.078463606,1.449969896,1.388134028,0.062997608,1,0,F,0.0037,1,0,3,8
